date, pm25, pm10, no2
2024/11/1, 49, 18, 10
2024/11/2, 53, 14, 6
2024/11/3, 44, 25, 8
2024/11/4, 62, 26, 11
2024/11/5, 59, 31, 10
2024/11/6, 78, 23, 10
2024/11/7, 55, 12, 7
2024/11/8, 39, 15, 7
2024/11/9, 43, 21, 17
2024/11/13, 68, 38, 20
2024/11/14, 79, 16, 14
2024/11/15, 35, 22, 11
2024/11/16, 61, 17, 11
2024/11/17, 46, 10, 3
2024/11/18, 15, , 
2024/10/1, 24, 12, 13
2024/10/2, 24, 19, 16
2024/10/3, 47, 20, 15
2024/10/4, 44, 15, 8
2024/10/5, 40, 9, 4
2024/10/6, 26, 11, 7
2024/10/7, 25, 9, 2
2024/10/8, 19, 11, 13
2024/10/9, 25, 13, 16
2024/10/10, 32, 15, 14
2024/10/11, 34, 13, 11
2024/10/12, 38, 15, 14
2024/10/13, 33, 19, 15
2024/10/14, 43, 20, 10
2024/10/15, 49, 26, 8
2024/10/16, 40, 19, 14
2024/10/17, 33, 21, 17
2024/10/18, 40, 13, 8
2024/10/19, 30, 10, 2
2024/10/20, 21, 13, 16
2024/10/21, 29, 16, 10
2024/10/22, 29, 19, 12
2024/10/23, 45, 21, 13
2024/10/24, 43, 23, 13
2024/10/25, 49, 25, 14
2024/10/26, 61, 20, 13
2024/10/27, 44, 18, 9
2024/10/28, 41, 16, 10
2024/10/29, 38, 21, 16
2024/10/30, 38, 18, 6
2024/10/31, 49, 18, 11
2024/7/1, 22, 19, 9
2024/7/2, 24, 20, 8
2024/7/3, 27, , 7
2024/7/5, 24, 11, 4
2024/7/6, 20, 10, 3
2024/7/7, 22, 11, 8
2024/7/8, 27, 15, 13
2024/7/9, 35, 9, 5
2024/7/10, 24, 13, 12
2024/7/11, 32, 14, 15
2024/7/12, 29, 17, 11
2024/7/13, 46, 12, 7
2024/7/14, 39, 16, 14
2024/7/15, 42, 10, 5
2024/7/16, 23, 15, 10
2024/7/17, 39, 16, 14
2024/7/18, 38, 18, 14
2024/7/19, 46, 18, 8
2024/7/20, 43, 9, 7
2024/7/21, 32, 10, 2
2024/7/22, 23, 10, 7
2024/7/23, 24, 14, 8
2024/7/24, 37, 10, 5
2024/7/25, 31, 12, 11
2024/7/26, 41, 13, 11
2024/7/27, 39, 10, 9
2024/7/28, 31, 18, 12
2024/7/29, 37, 30, 19
2024/7/30, 60, 17, 9
2024/7/31, 42, 21, 15
2024/8/1, 63, 18, 10
2024/8/2, 61, 7, 3
2024/8/3, 24, 13, 7
2024/8/4, 36, 12, 8
2024/8/5, 37, 12, 8
2024/8/6, 36, 9, 8
2024/8/7, 29, 11, 3
2024/8/8, 28, 9, 6
2024/8/9, 29, 9, 9
2024/8/10, 31, 10, 10
2024/8/11, 32, 11, 8
2024/8/12, 40, , 9
2024/8/13, 36, , 12
2024/8/14, 38, , 5
2024/8/15, 23, , 2
2024/8/16, 15, , 10
2024/8/17, 29, 11, 9
2024/8/18, 26, 11, 5
2024/8/19, 41, 12, 6
2024/8/20, 39, 12, 8
2024/8/21, 24, 9, 5
2024/8/22, 19, , 4
2024/8/23, 17, , 4
2024/8/24, 20, 9, 6
2024/8/25, 20, 10, 11
2024/8/26, 27, 17, 11
2024/8/27, 36, 16, 10
2024/8/28, 45, 16, 14
2024/8/29, 41, 14, 17
2024/8/30, 39, 10, 12
2024/8/31, 55, 18, 6
2024/9/1, 55, 7, 3
2024/9/2, 26, 7, 6
2024/9/3, 18, 13, 13
2024/9/4, 28, , 12
2024/9/5, 23, , 13
2024/9/9, 33, 14, 3
2024/9/10, 25, 14, 9
2024/9/11, 22, 13, 11
2024/9/12, 20, 18, 16
2024/9/13, 26, 16, 17
2024/9/14, 34, 18, 14
2024/9/15, 44, 22, 16
2024/9/16, 41, 19, 14
2024/9/17, 28, 38, 14
2024/9/18, 66, 44, 17
2024/9/19, 76, 33, 15
2024/9/20, 69, 15, 13
2024/9/21, 40, 11, 5
2024/9/22, 34, 12, 4
2024/9/23, 36, 10, 7
2024/9/24, 28, 16, 3
2024/9/25, 34, , 2
2024/9/26, 19, 16, 6
2024/9/27, 19, 15, 18
2024/9/28, 30, 14, 9
2024/9/29, 38, 7, 2
2024/9/30, 14, 13, 8
2024/4/1, 17, 10, 2
2024/4/2, 18, 9, 6
2024/4/3, 14, 10, 4
2024/4/4, 16, 6, 4
2024/4/5, 14, 10, 6
2024/4/6, 18, 5, 2
2024/4/7, 12, 10, 7
2024/4/8, 19, 11, 5
2024/4/9, 15, 14, 7
2024/4/10, 18, 15, 11
2024/4/11, 21, 19, 13
2024/4/12, 31, 17, 12
2024/4/13, 30, 13, 11
2024/4/14, 23, 12, 6
2024/4/15, 17, 16, 9
2024/4/16, 16, 13, 16
